Airport_Name,Most_Frequent_Reason,Cancellation_Count
Rockford,Carrier,1
Roswell,Carrier,2
Sacramento,Carrier,7
"Saginaw/Bay City/Midland",Weather,3
Salina,Weather,2
"Salt Lake City",Carrier,11
"Salt Lake City",Weather,11
"San Angelo",Carrier,1
"San Antonio",Carrier,24
"San Diego",Carrier,35
"San Francisco",Carrier,80
"San Jose",Carrier,32
"San Juan",Carrier,12
"San Luis Obispo",Carrier,2
Sanford,Carrier,6
"Santa Ana",Carrier,11
"Santa Barbara",Weather,1
"Santa Barbara","National Air System",1
"Santa Barbara",Carrier,1
"Santa Rosa",Weather,1
Sarasota/Bradenton,Carrier,17
Savannah,Carrier,42
Scottsbluff,Weather,1
Scranton/Wilkes-Barre,Carrier,15
Seattle,Carrier,25
Shreveport,Carrier,8
"Sioux City","National Air System",4
"Sioux Falls",Carrier,6
Sitka,Carrier,4
"South Bend","National Air System",5
Spokane,Carrier,2
Spokane,Weather,2
Springfield,Weather,6
Springfield,Weather,4
"St. Louis",Carrier,39
"St. Petersburg",Carrier,18
"State College",Weather,1
Staunton,"National Air System",2
Stillwater,Carrier,1
Stillwater,"National Air System",1
Stockton,Carrier,3
Syracuse,Carrier,25
Tallahassee,Carrier,21
Tampa,Weather,28
Texarkana,Carrier,2
Toledo,Carrier,9
"Traverse City","National Air System",5
Trenton,Carrier,4
Tucson,Carrier,5
Tulsa,Carrier,13
Tyler,Weather,2
Valdosta,Weather,1
Valparaiso,Carrier,22
Waco,"National Air System",2
Washington,Carrier,224
Washington,Carrier,71
Waterloo,"National Air System",4
"West Palm Beach/Palm Beach",Carrier,10
"White Plains",Carrier,26
Wichita,Carrier,6
"Wichita Falls",Weather,1
"Wichita Falls","National Air System",1
Wilmington,Carrier,41
Worcester,Carrier,3
